工	aa
节	ab
芭	ac
其	ad
功	ae
七	ag
牙	ah
东	ai
划	aj
或	ak
苗	al
黄	am
世	an
蔗	ao
劳	ap
获	aq
区	ar
苛	as
攻	at
蒋	au
切	av
共	aw
药	ax
芳	ay
陈	ba
子	bb
取	bc
随	bd
阴	be
际	bf
卫	bg
耻	bh
孙	bi
阳	bj
职	bk
阵	bl
出	bm
也	bn
耿	bo
院	bp
隐	bq
孤	br
阿	bs
降	bt
联	bu
限	bv
队	bw
陛	bx
及	by
戏	ca
邓	cb
又	cc
参	cd
能	ce
对	cf
马	cg
覌	ch
次	ci
台	ck
圅	cl
观	cm
巴	cn
允	cq
矣	ct
粗	cu
艰	cv
难	cw
叉	cy
左	da
顾	db
友	dc
大	dd
胡	de
夺	df
三	dg
还	dh
耗	di
百	dj
右	dk
奋	dl
面	dm
成	dn
矿	do
达	dp
克	dq
原	dr
厅	ds
故	dt
磁	du
碌	dv
春	dw
龙	dx
太	dy
毁	ea
服	eb
肥	ec
须	ed
月	ee
脚	ef
且	eg
用	eh
膛	ei
胆	ej
加	ek
舅	el
觅	em
力	en
脏	eo
边	ep
胸	eq
貌	er
采	es
胜	et
脱	eu
妥	ev
办	ew
脂	ex
脑	ey
域	fa
地	fb
去	fc
城	fd
协	fe
土	ff
二	fg
起	fh
示	fi
进	fj
喜	fk
载	fl
南	fm
志	fn
赤	fo
过	fp
无	fq
垢	fr
霜	fs
才	ft
增	fu
雪	fv
夫	fw
盏	fx
裁	fy
开	ga
击	gb
到	gc
天	gd
表	ge
于	gf
五	gg
下	gh
求	gi
理	gj
事	gk
画	gl
现	gm
与	gn
来	go
珲	gp
万	gq
珠	gr
末	gs
麦	gt
平	gu
妻	gv
珍	gw
互	gx
玉	gy
虑	ha
眲	hb
皮	hc
非	hd
肯	he
睹	hf
上	hg
止	hh
旧	hj
占	hk
卤	hl
贞	hm
卢	hn
眯	ho
瞎	hp
餐	hq
睥	hr
盯	hs
睡	ht
瞳	hu
眼	hv
具	hw
此	hx
眩	hy
江	ia
池	ib
汉	ic
尖	id
肖	ie
法	if
光	ig
小	ih
水	ii
温	ij
溃	ik
渐	il
油	im
泥	in
淡	io
学	ip
沟	iq
派	ir
河	is
少	it
洋	iu
当	iv
没	iw
涨	ix
流	iy
暴	ja
最	jb
紧	jc
晨	jd
明	je
时	jf
量	jg
申	jh
晃	ji
日	jj
蝇	jk
曙	jl
遇	jm
电	jn
显	jo
晕	jp
晚	jq
蝗	jr
果	js
昨	jt
暗	ju
归	jv
蛤	jw
昆	jx
景	jy
呀	ka
啊	kb
吧	kc
顺	kd
另	ke
叶	kf
号	kg
中	kh
吵	ki
虽	kj
吕	kk
喂	kl
员	km
叫	kn
嘛	ko
喧	kp
兄	kq
听	kr
呆	ks
吃	kt
哭	ku
啸	kv
只	kw
哟	kx
咬	ky
啦	la
囝	lb
轻	lc
因	ld
男	le
团	lf
车	lg
四	lh
里	li
辊	lj
回	lk
田	ll
轴	lm
思	ln
咯	lo
连	lp
罗	lq
斩	lr
困	ls
图	lt
圈	lu
轨	lv
界	lw
累	lx
较	ly
曲	ma
邮	mb
峻	mc
央	md
骨	me
周	mf
峡	mg
由	mh
峭	mi
则	mj
迥	mk
崭	ml
山	mm
岂	mn
莫	mo
迪	mp
见	mq
刚	mr
败	mt
赠	mu
岧	mv
内	mw
幽	mx
丹	my
展	na
敢	nb
怪	nc
居	nd
呢	ne
导	nf
那	ng
收	nh
尿	ni
慢	nj
避	nk
惭	nl
届	nm
已	nn
屡	no
忱	np
懈	nq
怕	nr
怵	ns
